vague_phrase,common_designer_interpretation
"make it pop","Increase contrast, saturation, or add accent elements to highlight focal points."
"needs more pizzazz","Introduce dynamic typography or motion-inspired graphics to add energy."
"feels flat","Add depth through shadows, gradients, or layered imagery."
"looks boring","Incorporate a bolder color palette and more engaging visuals."
"too plain","Introduce secondary colors, icons, or texture to break monotony."
"spruce it up","Refine layout hierarchy and add supporting visuals for interest."
"make it cleaner","Reduce clutter, align elements, and simplify typography."
"needs more polish","Tighten spacing, refine fonts, and ensure consistent styling."
"it's messy","Improve alignment, grid usage, and grouping of related content."
"too busy","Remove non-essential elements and increase white space."
"add some flair","Include subtle animations or decorative elements that match the brand."
"not on brand","Adjust colors, fonts, and imagery to align with brand guidelines."
"feels outdated","Update typography and color palette to contemporary standards."
"looks cheap","Enhance imagery quality and refine typography for a premium feel."
"needs more personality","Integrate unique visuals or copy that reflects brand voice."
"too corporate","Introduce friendly typography and conversational copy."
"make it luxurious","Use high-contrast palette, elegant fonts, and generous spacing."
"make it youthful","Incorporate bright colors, playful illustrations, and casual fonts."
"make it edgy","Use bold typography, high contrast, and unconventional layouts."
"add more emotion","Select imagery and color choices that convey stronger sentiment."
"feels empty","Add supporting visuals or content blocks to fill negative space strategically."
"needs depth","Introduce shadows, gradients, or overlapping elements for layering."
"too text-heavy","Break copy into shorter sections and add icons or visuals."
"add breathing room","Increase margins, padding, and line heights for readability."
"make the CTA stand out","Increase CTA size, contrast, and add whitespace around it."
"headline needs punch","Revise headline copy and typography for stronger impact."
"can we make it modern?","Adopt minimalist layout, bold sans-serif typography, and clean imagery."
"make it friendlier","Use rounded shapes, warm colors, and personable imagery."
"needs premium feel","Incorporate refined fonts, muted palette, and high-quality photography."
"more cohesive","Standardize color usage, typography, and iconography."
"more playful","Add whimsical illustrations, bright colors, and lively microcopy."
"more dynamic","Introduce asymmetrical layout and motion cues."
"more professional","Use structured layout, sophisticated fonts, and subdued colors."
"add hierarchy","Clarify typographic scale and spacing to guide user attention."
"tighten it up","Adjust spacing and alignment for a crisp layout."
"make it consistent","Apply uniform styling to buttons, headings, and inputs."
"too bland","Introduce accent colors and engaging imagery."
"feels clunky","Refine layout flow and simplify navigation elements."
"needs balance","Distribute visual weight evenly and adjust spacing."
"hard to read","Increase font size, line spacing, and contrast."
"feels cramped","Add padding and margins; reduce overcrowded elements."
"overwhelming","Remove unnecessary elements and streamline color usage."
"make it punchy","Use bold typography and succinct copy."
"needs more whitespace","Increase spacing around sections and between components."
"feels disjointed","Align elements to grid and clarify relationships between sections."
"can we add wow factor?","Add hero imagery or interactive element that draws attention."
"more contrast please","Adjust color contrast between text and backgrounds."
"make the logo pop","Increase logo size, contrast, or surrounding whitespace."
"needs to be cleaner","Simplify layout and remove decorative clutter."
"looks unfinished","Polish spacing, alignment, and ensure consistent styling."
"too colorful","Reduce palette to core brand colors and harmonize accents."
"too monochrome","Introduce secondary accent colors for differentiation."
"not bold enough","Increase font weights and use stronger accent colors."
"too formal","Add approachable imagery and soften typography."
"needs to be more serious","Tone down bright colors and adopt structured layout."
"make it approachable","Use friendly visuals, rounded shapes, and warm colors."
"too plain jane","Introduce textures, gradients, or supporting illustrations."
"make it more visual","Add imagery, icons, or charts to support text."
"needs more structure","Clarify grid, align elements, and define consistent spacing."
"too boxy","Break rigid grid with overlapping or organic shapes."
"make it smoother","Refine transitions, use rounded corners, and soften edges."
"needs to feel faster","Simplify interactions and reduce content load per screen."
"looks generic","Incorporate brand-specific elements and unique visuals."
